,Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
110,ZXAUTO,Grand Tiger,occasion,Diesel,Manuelle,9.0,4,18250,65000.0
111,Volkswagen,Tiguan,occasion,Essence,Automatique,8.0,4,15250,117000.0
112,Haval,H6,occasion,Essence,Automatique,9.0,4,16250,83000.0
113,Dongfeng,S50,occasion,Essence,Manuelle,6.0,4,22000,43000.0
114,Chery,Tiggo,occasion,Essence,Manuelle,4.0,4,9250,26000.0
115,Wallyscar,Iris,occasion,Essence,Manuelle,4.0,4,6370,35000.0
116,Haval,Jolion,occasion,Essence,Automatique,9.0,3,25574,84000.0
117,Dongfeng,SX3,occasion,Essence,Manuelle,8.0,3,18333,61000.0
118,Geely,GC6,occasion,Essence,Manuelle,6.0,2,23300,36000.0
119,Tata,Xénon,occasion,Diesel,Manuelle,7.0,2,6250,60000.0
120,Baic,S2,occasion,Essence,Manuelle,7.0,7,11142,36000.0
121,Baic,S2,occasion,Essence,Manuelle,7.0,7,15142,36000.0
122,Baic,S2,occasion,Essence,Manuelle,4.0,7,13285,36000.0
123,Baic,S2,occasion,Essence,Manuelle,7.0,7,14457,33500.0
124,Baic,S2,occasion,Essence,Manuelle,7.0,6,16333,32500.0
125,Baic,S2,occasion,Essence,Manuelle,5.0,5,13608,35000.0
126,Baic,S3,occasion,Essence,Manuelle,7.0,5,13608,40000.0
127,Bmw,E34,occasion,Essence,Manuelle,11.0,33,3984,8500.0
128,Bmw,Serie 3,occasion,Essence,Manuelle,6.0,13,12461,46000.0
129,Bmw,F10,occasion,Essence,Automatique,11.0,12,17083,90000.0
130,Bmw,F30,occasion,Essence,Manuelle,9.0,10,9000,77000.0
131,Bmw,X2,occasion,Essence,Automatique,8.0,6,25000,130000.0
132,Bmw,F30,occasion,Essence,Automatique,7.0,6,21913,77000.0
133,Bmw,M3,occasion,Essence,Manuelle,8.0,32,6250,14000.0
134,Bmw,Serie 1,occasion,Essence,Manuelle,7.0,12,16666,52000.0
135,Bmw,Serie 1,occasion,Essence,Automatique,8.0,4,6250,98000.0
136,Bmw,Serie 1,occasion,Essence,Manuelle,7.0,19,6920,24000.0
137,Bmw,Serie 1,occasion,Essence,Manuelle,7.0,14,20857,29500.0
138,Bmw,Serie 1,occasion,Essence,Automatique,9.0,12,15833,49000.0
139,Bmw,Serie 1,occasion,Essence,Automatique,7.0,12,13833,44000.0
140,Bmw,Serie 1,occasion,Essence,Automatique,7.0,12,12666,46000.0
141,Bmw,Serie 1,occasion,Essence,Automatique,7.0,8,12875,66900.0
