,Nom Voiture,Prix,Marque de voiture,Model,Année,Carburant,Etat,Boîte de vitesse,Couleur,Puissance fiscale,Cylindrée,Kilométrage,il y a 5 heures,il y a 9 jours,il y a 11 jours,il y a 12 jours,il y a 22 jours,il y a 21 jours,il y a un mois,il y a 25 jours,il y a 2 mois,il y a 10 jours,il y a 3 mois,il y a 13 jours,il y a 4 mois,il y a 5 mois,il y a 6 mois,il y a 7 mois,il y a 8 mois,il y a 5 jours,il y a 9 mois,il y a 10 mois,il y a un an
58,FIAT 500 CULT CLUB BVA,,Fiat,500,2023,Essence,Occasion,Automatique,noir,5,1.2,3000,,,,,,,,,,,,,,,,,,,,,
59,AUDI A5 SPORTBACK,,Audi,Audi A5,2019,Essence,Occasion,Automatique,noir,8,1.4,80000,,,,,,,,,,,,,,,,,,,,,
60,HYUNDAI TUCSON 2L 4X4 DIESEL,,Hyundai,Tucson,2018,Diesel,Occasion,Automatique,gris,10,2.0,81000,,,,,,,,,,,,,,,,,,,,,
61,MERCEDES-BENZ A180 KIT AMG,,Mercedes,Classe A,2021,Essence,Occasion,Automatique,blanc,7,1.4,60000,,,,,,,,,,,,,,,,,,,,,
62,VOLKSWAGEN TIGUAN R-LINE,,Volkswagen,Tiguan,2019,Essence,Occasion,Automatique,blanc,8,1.4,170000,,,,,,,,,,,,,,,,,,,,,
63,KIA RIO GT LINE,,Kia,Rio,2023,Essence,Occasion,Manuelle,bleu,5,1.2,30000,,,,,,,,,,,,,,,,,,,,,
64,KIA SPORTAGE GT LINE 4X4 DIESEL 2L,,Kia,Sportage,2017,Diesel,Occasion,Automatique,blanc,10,2.0,150000,,,,,,,,,,,,,,,,,,,,,
65,MAZDA 2,,Mazda,2,2017,Essence,Occasion,Manuelle,rouge,6,1.5,90000,,,,,,,,,,,,,,,,,,,,,
66,Peugeot 106 XN,11.500,Peugeot,106,1996,Essence,Neuf,Manuelle,blanc,4,1.2,200000,,,,,,,,,,,,,,,,,,,,,
67,Très belle fiat grandi,,Fiat,Grande Punto,2010,Essence,Neuf,Manuelle,gris,4,1.2,145000,,,,,,,,,,,,,,,,,,,,,
68,Très très jolie fiat Punto Evo tél 98679652,,Fiat,Grande Punto,2011,Essence,Neuf,Manuelle,bordeaux,4,1.2,170000,,,,,,,,,,,,,,,,,,,,,
69,Golf 6 essence 1.4,44.000,Volkswagen,Golf,2012,Essence,Occasion,Manuelle,blanc,5,1.4,205000,,,,,,,,,,,,,,,,,,,,,
