Brand,Model,Status,Fuel_Type,Transmission,Horse_power,Age,MileagePerYear,Price
Bmw,F30,occasion,Essence,Manuelle,9.0,10,9000,77000
Bmw,X2,occasion,Essence,Automatique,8.0,6,25000,130000
Bmw,F30,occasion,Essence,Automatique,7.0,6,21913,77000
Bmw,M3,occasion,Essence,Manuelle,8.0,32,6250,14000
Bmw,Serie 1,occasion,Essence,Manuelle,7.0,12,16666,52000
Bmw,Serie 1,occasion,Essence,Automatique,8.0,4,6250,98000
Bmw,Serie 1,occasion,Essence,Manuelle,7.0,19,6920,24000
Bmw,Serie 1,occasion,Essence,Manuelle,7.0,14,20857,29500
Bmw,Serie 1,occasion,Essence,Automatique,9.0,12,15833,49000
Bmw,Serie 1,occasion,Essence,Automatique,7.0,12,13833,44000
Bmw,Serie 1,occasion,Essence,Automatique,7.0,12,12666,46000
Bmw,Serie 1,occasion,Essence,Automatique,7.0,8,12875,66900
Bmw,Serie 1,occasion,Essence,Automatique,7.0,7,5714,110000
Bmw,Serie 1,occasion,Essence,Manuelle,7.0,7,18782,60000
Bmw,Serie 1,occasion,Essence,Manuelle,7.0,7,18285,123456
Bmw,Serie 1,occasion,Essence,Automatique,7.0,7,14000,68000
Bmw,Serie 1,occasion,Essence,Automatique,7.0,4,10500,135000
Bmw,Serie 1,occasion,Diesel,Automatique,6.0,3,66666,120500
Bmw,Serie 2 Active Tourer,occasion,Essence,Automatique,7.0,9,16000,74000
Bmw,Serie 2 Cabriolet,occasion,Essence,Automatique,8.0,6,13833,115000
Bmw,Serie 2 Gran Tourer,occasion,Essence,Automatique,8.0,2,11000,123456
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,31,4241,18000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,16,8217,31500
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,8,22500,54000
Bmw,Serie 3,occasion,Essence,Automatique,7.0,6,30000,67000
Bmw,Serie 3,occasion,Essence,Manuelle,9.0,39,8547,7000
Bmw,Serie 3,occasion,Essence,Manuelle,9.0,28,7797,19500
Bmw,Serie 3,occasion,Diesel,Manuelle,4.0,25,12000,26000
Bmw,Serie 3,occasion,Essence,Manuelle,7.0,20,20000,21000
Bmw,Serie 3,occasion,Essence,Manuelle,8.0,18,7304,29000
